"['USD', 'JPY', 'CAD', 'GBP', 'NZD', 'INR']",Date
"[1.1405, 128.11, 1.5332, 0.90318, 1.663, 80.116]",2018-12-19
"[1.1435, 129.45, 1.4861, 0.8768, 1.7784, 85.084]",2018-10-09
"[1.1269, 121.62, 1.4684, 0.89873, 1.6751, 77.2205]",2019-07-15
"[1.1359, 128.99, 1.5116, 0.89068, 1.6556, 79.0815]",2018-11-30
"[1.1309, 124.63, 1.5005, 0.87615, 1.6768, 80.448]",2019-02-11
"[1.1243, 125.3, 1.4964, 0.8539, 1.6551, 76.9305]",2019-04-03
"[1.1408, 126.47, 1.5506, 0.90038, 1.6974, 80.019]",2018-12-24
"[1.1535, 124.7, 1.5251, 0.90423, 1.6983, 81.2005]",2019-01-10
"[1.1277, 125.51, 1.4984, 0.86335, 1.6718, 78.188]",2019-04-09
"[1.1065, 117.79, 1.4741, 0.90453, 1.736, 79.304]",2019-08-23
"[1.103, 119.11, 1.4636, 0.8823, 1.7579, 78.2925]",2019-09-20
"[1.2411, 130.47, 1.5997, 0.87248, 1.7029, 80.5105]",2018-03-26
"[1.1505, 129.44, 1.5009, 0.87843, 1.7522, 84.685]",2018-10-18
"[1.1244, 121.62, 1.5111, 0.88738, 1.7062, 77.874]",2019-06-04
"[1.1478, 128.76, 1.5047, 0.88103, 1.7514, 84.4435]",2018-10-23
"[1.1697, 131.21, 1.5237, 0.88963, 1.7752, 85.361]",2018-09-18
"[1.1173, 121.29, 1.4643, 0.8593, 1.7432, 79.169]",2019-10-21
"[1.2388, 132.82, 1.5572, 0.87105, 1.6912, 81.346]",2018-04-18
"[1.0986, 117.43, 1.4623, 0.89795, 1.7373, 78.144]",2019-10-08
"[1.2079, 132.12, 1.5542, 0.8796, 1.7145, 80.1685]",2018-04-30
"[1.237, 132.77, 1.5596, 0.86465, 1.6853, 81.0175]",2018-04-16
"[1.1583, 127.63, 1.5398, 0.8852, 1.7135, 79.683]",2018-06-28
"[1.1387, 128.99, 1.5117, 0.89135, 1.6573, 79.537]",2018-11-29
"[1.1643, 131.04, 1.5358, 0.88488, 1.728, 79.732]",2018-07-13
"[1.0982, 118.0, 1.458, 0.88668, 1.7435, 78.0215]",2019-09-25
"[1.1216, 120.89, 1.465, 0.89853, 1.664, 77.2775]",2019-07-18
"[1.1128, 120.86, 1.4545, 0.86288, 1.74, 79.022]",2019-10-24
"[1.1234, 122.06, 1.5069, 0.89208, 1.7259, 78.577]",2019-06-17
"[1.1932, 134.31, 1.4826, 0.8827, 1.6601, 76.0215]",2018-01-09
